feature,group,std_coef,perm_importance,drop_importance
skill_mu,L1a,0.3123620356542087,0.038521429192297486,0.015979909127171076
skill_sigma,L1a,0.379597545259111,0.014680559213273096,0.00733991780504304
skill_conservative,L1a,0.21742508365045984,0.03598528437324806,0.014016725176148132
pace_mu,L1b,0.2416145155592091,0.005308767414437037,0.009759278817295955
pace_sigma,L1b,0.26648852816008434,0.008185086660174142,0.003454599737656805
p_win_mc,L2,0.3917022549267169,0.03825453457757226,0.02574269294896713
p_podium_mc,L2,0.5159725093210579,0.037473748411882515,0.02835558684167138
p_dnf_mc,L2,0.3697469303260209,0.03752867891211309,0.02099085529881075
exp_pos_mc,L2,0.5280349921085179,0.06711055768358082,0.015990213464750793
grid_pos,Context,0.011387550730889262,0.02184829137724085,0.005464504127199977
grid_quali_delta,Context,0.08603588152115071,0.01341048247374583,0.0056505159298527955
circuit_type,Context,0.35910842980266666,0.029312640661491182,0.01308397348116461
has_penalty,Context,-0.15630898466130347,0.011953442280127678,0.011842330265121569
h2h_win_rate_3season,Historical,0.03204574812188041,0.0020983441136030096,0.002728296095500716
elo_delta_vs_field,Historical,-0.08968344366543449,0.00918388361870904,0.0016645099172000763
dnf_rate_relative,Historical,0.09875668530619461,0.0038053996848046987,0.0028403060953001488
